plant_id,name,bus,carrier,p_nom_mw,available_mw_2024,availability_basis,marginal_cost_usd_mwh,wri_location_id,source_id,source_pdf_page,notes,longitude,latitude,coordinate_quality,wri_capacity_mw_reference_only
merowe,Merowe,Merowe,hydro,1250.0,1250,reported available interpreted as full power capability,5,WRI1023179,WB_STATUS_2024,11,Energy budget assumed separately,32.05,18.6667,historical WRI location match; unverified plant footprint,1250.0
kosti,Kosti / Um Dabaker,Kosti,oil,500.0,125,reported one unit operating,150,,WB_STATUS_2024,11,500 MW report basis; other sources may quote 520 MW,32.66,13.17,regional bus proxy; NOT a known plant location,
garri12,Garri 1 and 2,Khartoum,oil,469.0,0,reported shut down,130,WRI1023169,WB_STATUS_2024,11,El Jaili WRI location proxy for complex; liquid fuel CCGT rather than domestic natural gas,32.692,16.12,historical WRI location match; unverified plant footprint,319.0
garri4,Garri 4,Khartoum,coal,110.0,0,reported shut down,100,WRI1023169,WB_STATUS_2024,11,Coal/SC label follows report; verify petroleum coke or fuel details,32.692,16.12,historical WRI location match; unverified plant footprint,319.0
bahri_st,Mahmoud Sharif steam,Khartoum,oil,380.0,0,reported shut down,160,WRI1023173,WB_STATUS_2024,11,Khartoum North complex location; separate steam and gas turbines,32.563,15.65,historical WRI location match; unverified plant footprint,351.0
bahri_gt,Mahmoud Sharif gas turbine,Khartoum,oil,150.0,0,reported shut down,220,WRI1023173,WB_STATUS_2024,11,Liquid fuel gas turbine; no gas infrastructure assumed,32.563,15.65,historical WRI location match; unverified plant footprint,351.0
roseires,Roseires,Roseires,hydro,280.0,280,reported available interpreted as full power capability,5,WRI1023183,WB_STATUS_2024,11,WRI older capacity not used,34.3882,11.7988,historical WRI location match; unverified plant footprint,233.6
port_barge,Port Sudan Turkish barge,PortSudan,oil,35.0,35,reported available but intermittent payments,200,,WB_STATUS_2024,11,Port city coordinate proxy; continuous availability is optimistic,37.22,19.62,regional bus proxy; NOT a known plant location,
jabal_awlia,Jabal Awlia,Sennar,hydro,30.4,0,reported unavailable,5,WRI1023167,WB_STATUS_2024,12,Aggregated southern connection; two WRI 15.2 MW entries not added twice,32.4649,15.2396,historical WRI location match; unverified plant footprint,15.2
sennar,Sinnar / Sennar,Sennar,hydro,15.0,7.5,reported one generator available,5,WRI1023184,WB_STATUS_2024,12,,33.6333,13.5667,historical WRI location match; unverified plant footprint,15.0
khashm,Khashm El Girba,Kassala,hydro,17.8,7.8,reported available MW,5,WRI1023174,WB_STATUS_2024,12,,35.9083,14.9222,historical WRI location match; unverified plant footprint,11.01
el_obeid,El Obeid diesel,ElObeid,diesel,12.7,0,reported out of service,260,WRI1023170,WB_STATUS_2024,12,,30.2167,13.1833,historical WRI location match; unverified plant footprint,14.3
upper_atbara,Setit and Upper Atbara,Gedaref,hydro,320.0,320,reported available interpreted as full power capability,5,,WB_STATUS_2024,12,South follows report page 7 prose; annex says North; unresolved contradiction,35.38,14.03,regional bus proxy; NOT a known plant location,
el_fasher,Al Fasir diesel,ElFasher,diesel,31.0,0,reported destroyed,260,,WB_STATUS_2024,13,,25.35,13.63,regional bus proxy; NOT a known plant location,
nyala,Nyala diesel,Nyala,diesel,10.0,,partial availability not quantified in source,260,WRI1023180,WB_STATUS_2024,13,Model applies configurable 50 percent assumption,24.8833,12.05,historical WRI location match; unverified plant footprint,15.5
geneina,El Ginena diesel,ElGeneina,diesel,10.0,,partial availability not quantified in source,260,,WB_STATUS_2024,13,Model applies configurable 50 percent assumption,22.45,13.45,regional bus proxy; NOT a known plant location,
kadugli,Kadogli diesel,Kadugli,diesel,8.0,,partial availability not quantified in source,260,,WB_STATUS_2024,13,Model applies configurable 50 percent assumption,29.72,11.01,regional bus proxy; NOT a known plant location,
nahud,El Nohod diesel,EnNahud,diesel,8.4,,partial availability not quantified in source,260,,WB_STATUS_2024,13,Model applies configurable 50 percent assumption,28.43,12.69,regional bus proxy; NOT a known plant location,
ed_daein,El Diain diesel,EdDaein,diesel,7.5,,partial availability not quantified in source,260,,WB_STATUS_2024,13,Model applies configurable 50 percent assumption,26.13,11.46,regional bus proxy; NOT a known plant location,
zalingei,Zalingei diesel,Zalingei,diesel,2.6,,partial availability not quantified in source,260,,WB_STATUS_2024,13,Model applies configurable 50 percent assumption,23.47,12.91,regional bus proxy; NOT a known plant location,
